db, var
SOutput,ENPN
MOutput,ExchangeRateGNode
SOutput,FPF
SpInput,GNodeAreaMap
SpInput,GNodeNationMap
SpInput,GNodeXAreaMap
SpInput,GNodeXNationMap
MOutput,Inflation
MOutput,InflationGNode
MOutput,InflationRfUnit
SpInput,RfArea
SpInput,RfNode
SpInput,RfEmgPrice
SpOutput,RfEmgPriceUS
SpOutput,RfCap
SpOutput,RfCrude
SpOutput,RfCrude
MOutput,ExchangeRateRfUnit
SpOutput,RfFP
SpOutput,RfFPCrude
SpInput,RfFPCrudeDChg
SpOutput,RfFPCrudeUS
SpOutput,RfFPUS
SpOutput,RfCapEffective
SpInput,RfMaxCrude
SpInput,RfMaxYield
SpInput,RfMinYield
SpInput,RfNation
SCalDB,RfOOR
SpInput,RfPathEff
SpInput,RfPathVC
SpOutput,RfPathVCUS
SpOutput,RfProd
SpInput,RfTrMax
SpInput,RfVCProd
SpOutput,RfVCProdUS
SpOutput,RPPAreaPurchases
SpOutput,RPPAreaSales
SpOutput,RPPCrude
SCalDB,RPPCrudeAdjust
SpOutput,RPPCrudeNation
SpOutput,RPPDemandA
SpOutput,RPPDemandN
SpOutput,RPPDem
SCalDB,RPPEff
SpOutput,RPPEmgSupply
SpOutput,RPPExportsArea
SpOutput,RPPFlows
SpOutput,RPPImportsArea
SpOutput,RPPNodePrice
SpOutput,RPPNodePriceUS
SpOutput,RPPProdArea
SCalDB,RPPProdAdjust
SpOutput,RPPProdNation
SOutput,TotDemand
SpInput,xRfCap
SpInput,xRPPAdjustArea
SpInput,xRPPExportsROW
SpInput,xRPPImportsROW]
